,income,wage
0,0.0,0
1,0.0,0
2,0.0,1
3,0.0,3
4,5.0,3
5,5.0,4
6,10.0,5
7,10.0,5
8,15.0,6
9,15.0,8
10,15.0,9
11,20.0,11
12,20.0,12
13,25.0,12
14,25.0,13
15,25.0,14
16,30.0,16
17,30.0,18
18,30.0,20
19,30.0,22
20,30.0,23
21,30.0,25
22,35.0,27
23,35.0,29
24,45.0,31
25,50.0,32
26,55.0,33
27,55.0,35
28,65.0,37
29,70.0,39
30,70.0,41
31,70.0,43
32,70.0,44
33,75.0,46
34,80.0,48
35,85.0,50
36,85.0,51
37,90.0,52
38,90.0,53
39,95.0,54
40,95.0,55
41,95.0,56
42,95.0,57
43,95.0,58
44,95.0,59
45,100.0,61
46,100.0,62
47,100.0,63
48,100.0,63
49,100.0,63
50,100.0,65
51,100.0,66
52,100.0,66
53,100.0,66
54,100.0,67
55,110.0,69
56,110.0,71
57,115.0,73
58,115.0,74
59,120.0,75
60,120.0,75
61,120.0,75
62,120.0,75
63,120.0,75
64,120.0,77
65,125.0,78
66,125.0,79
67,125.0,80
68,125.0,82
69,125.0,82
70,125.0,83
71,130.0,84
72,135.0,86
73,140.0,87
74,140.0,88
75,140.0,88
76,140.0,88
77,140.0,88
78,140.0,88
79,140.0,89
80,145.0,90
81,145.0,92
82,145.0,93
83,145.0,93
84,150.0,93
85,150.0,94
86,155.0,95
87,155.0,96
88,160.0,97
89,160.0,97
90,160.0,97
91,160.0,98
92,160.0,99
93,160.0,99
94,160.0,99
95,160.0,99
96,160.0,101
97,160.0,103
98,160.0,103
99,165.0,103
100,165.0,104
101,165.0,105
102,165.0,106
103,165.0,107
104,165.0,107
105,165.0,108
106,170.0,109
107,170.0,109
108,170.0,109
109,170.0,109
110,170.0,109
111,170.0,109
112,170.0,110
113,170.0,111
114,170.0,111
115,170.0,112
116,170.0,112
117,170.0,112
118,170.0,113
119,170.0,115
120,170.0,116
121,175.0,117
122,175.0,118
123,175.0,120
124,180.0,121
125,185.0,122
126,185.0,123
127,195.0,125
128,200.0,126
129,200.0,128
130,200.0,130
131,200.0,132
132,205.0,134
133,205.0,136
134,205.0,138
135,205.0,139
136,205.0,140
137,205.0,141
138,205.0,142
139,205.0,143
140,205.0,144
141,205.0,145
142,205.0,146
143,205.0,147
144,205.0,148
145,210.0,148
146,210.0,149
147,210.0,149
148,215.0,150
149,215.0,152
150,220.0,154
151,220.0,156
152,225.0,158
153,230.0,158
154,235.0,158
155,235.0,159
156,240.0,161
157,240.0,162
158,240.0,162
159,240.0,163
160,245.0,164
161,245.0,165
162,245.0,166
163,245.0,167
164,250.0,168
165,250.0,170
166,250.0,171
167,250.0,171
168,250.0,172
169,250.0,174
170,250.0,175
171,250.0,177
172,250.0,177
173,250.0,177
174,250.0,178
175,255.0,179
176,255.0,181
177,260.0,182
178,260.0,184
179,260.0,186
180,260.0,188
181,260.0,189
182,260.0,191
183,260.0,192
184,260.0,193
185,265.0,194
186,265.0,195
187,270.0,196
188,270.0,196
189,270.0,197
190,270.0,197
191,270.0,197
192,270.0,198
193,270.0,199
194,270.0,199
195,270.0,199
196,275.0,199
197,275.0,200
198,280.0,201
199,280.0,201
200,280.0,201
201,285.0,201
202,285.0,203
203,290.0,204
204,290.0,206
205,290.0,208
206,290.0,209
207,290.0,211
208,290.0,213
209,290.0,214
210,290.0,215
211,290.0,216
212,295.0,217
213,300.0,219
214,300.0,220
215,300.0,220
216,300.0,220
217,300.0,220
218,300.0,220
219,300.0,221
220,300.0,222
221,300.0,222
222,300.0,222
223,300.0,223
224,300.0,224
225,300.0,225
226,305.0,226
227,305.0,228
228,310.0,230
229,310.0,232
230,310.0,233
231,310.0,235
232,310.0,236
233,315.0,238
234,315.0,240
