,income,wage
0,0.0,0
1,0.0,0
2,0.0,0
3,0.0,1
4,5.0,1
5,5.0,2
6,10.0,3
7,10.0,3
8,10.0,3
9,10.0,3
10,10.0,3
11,10.0,4
12,10.0,5
13,10.0,5
14,10.0,5
15,10.0,5
16,10.0,6
17,10.0,6
18,10.0,6
19,10.0,6
20,10.0,6
21,10.0,7
22,15.0,7
23,15.0,8
24,20.0,9
25,20.0,9
26,20.0,10
27,20.0,11
28,25.0,11
29,25.0,12
30,30.0,13
31,30.0,14
32,30.0,15
33,30.0,15
34,30.0,15
35,30.0,15
36,30.0,15
37,30.0,15
38,30.0,15
39,30.0,15
40,30.0,15
41,30.0,15
42,30.0,15
43,30.0,15
44,30.0,15
45,30.0,16
46,30.0,17
47,30.0,17
48,30.0,17
49,35.0,17
50,35.0,18
51,40.0,19
52,40.0,19
53,40.0,19
54,40.0,20
55,45.0,21
56,45.0,22
57,50.0,23
58,50.0,23
59,50.0,23
60,50.0,23
61,50.0,23
62,50.0,23
63,50.0,23
64,50.0,23
65,50.0,23
66,50.0,23
67,50.0,23
68,50.0,23
69,50.0,23
70,50.0,23
71,50.0,23
72,50.0,23
73,50.0,23
74,50.0,23
75,50.0,23
76,50.0,23
77,50.0,23
78,50.0,23
79,50.0,23
80,50.0,23
81,50.0,23
82,50.0,23
83,50.0,23
84,50.0,23
85,50.0,23
86,50.0,23
87,50.0,23
88,50.0,23
89,50.0,23
90,50.0,23
91,50.0,24
92,55.0,26
93,55.0,27
94,60.0,28
95,60.0,28
96,60.0,28
97,60.0,28
98,60.0,29
99,60.0,30
100,60.0,30
101,60.0,30
102,60.0,30
103,60.0,30
104,60.0,30
105,60.0,30
106,60.0,30
107,60.0,30
108,60.0,30
109,60.0,30
110,60.0,30
111,60.0,30
112,60.0,30
113,60.0,30
114,60.0,30
115,60.0,30
116,60.0,30
117,60.0,30
118,60.0,30
119,60.0,31
120,60.0,32
121,65.0,32
122,65.0,33
123,70.0,34
124,70.0,34
125,70.0,34
126,70.0,34
127,70.0,34
128,70.0,34
129,70.0,34
130,70.0,34
131,70.0,35
132,70.0,36
133,70.0,36
134,70.0,36
135,70.0,36
136,70.0,36
137,70.0,36
138,70.0,36
139,70.0,37
140,70.0,37
141,70.0,37
142,70.0,37
143,70.0,37
144,70.0,37
145,70.0,37
146,70.0,37
147,70.0,37
148,70.0,37
149,70.0,37
150,70.0,37
151,70.0,37
152,75.0,38
153,75.0,39
154,75.0,40
155,75.0,41
156,80.0,42
157,80.0,42
158,80.0,42
159,80.0,43
160,80.0,43
161,80.0,43
162,80.0,43
163,80.0,43
164,80.0,43
165,80.0,43
166,80.0,43
167,80.0,43
168,80.0,43
169,80.0,43
170,80.0,43
171,80.0,43
172,80.0,43
173,80.0,43
174,80.0,43
175,80.0,43
176,80.0,43
177,80.0,43
178,80.0,43
179,80.0,43
180,80.0,43
181,80.0,43
182,80.0,43
183,80.0,43
184,80.0,43
185,80.0,43
186,80.0,43
187,80.0,43
188,80.0,43
189,80.0,43
190,80.0,44
191,80.0,45
192,80.0,45
193,80.0,45
194,80.0,45
195,80.0,45
196,80.0,45
197,80.0,45
198,80.0,45
199,80.0,45
200,80.0,45
201,80.0,45
202,80.0,46
203,85.0,48
204,90.0,50
205,90.0,52
206,90.0,53
207,95.0,54
208,100.0,55
209,100.0,55
210,100.0,55
211,100.0,55
212,100.0,55
213,100.0,56
214,100.0,57
215,100.0,57
216,100.0,57
217,100.0,57
218,100.0,57
219,100.0,57
220,100.0,57
221,100.0,57
222,100.0,57
223,100.0,58
224,100.0,59
225,100.0,60
226,100.0,60
227,100.0,60
228,100.0,60
229,100.0,60
230,100.0,60
231,100.0,60
232,100.0,60
233,100.0,61
234,100.0,61
