,income,wage
0,0.0,0
1,0.0,0
2,0.0,0
3,0.0,0
4,5.0,1
5,5.0,2
6,10.0,3
7,10.0,3
8,10.0,3
9,10.0,3
10,10.0,3
11,10.0,3
12,10.0,3
13,10.0,4
14,10.0,4
15,10.0,4
16,10.0,4
17,10.0,4
18,10.0,4
19,10.0,4
20,10.0,4
21,10.0,4
22,15.0,5
23,15.0,6
24,20.0,7
25,20.0,7
26,20.0,7
27,20.0,7
28,20.0,8
29,20.0,8
30,20.0,8
31,20.0,8
32,20.0,8
33,20.0,8
34,20.0,8
35,20.0,8
36,20.0,8
37,20.0,8
38,20.0,8
39,20.0,8
40,20.0,8
41,20.0,8
42,20.0,8
43,25.0,9
44,25.0,10
45,30.0,11
46,30.0,11
47,30.0,11
48,30.0,11
49,30.0,12
50,30.0,12
51,30.0,12
52,30.0,12
53,30.0,12
54,30.0,12
55,35.0,13
56,35.0,14
57,40.0,15
58,40.0,15
59,40.0,15
60,40.0,15
61,40.0,15
62,40.0,15
63,40.0,15
64,40.0,15
65,40.0,15
66,40.0,15
67,40.0,15
68,40.0,15
69,40.0,15
70,40.0,15
71,40.0,16
72,40.0,16
73,40.0,16
74,40.0,16
75,40.0,16
76,40.0,16
77,40.0,16
78,40.0,16
79,40.0,16
80,40.0,16
81,40.0,16
82,40.0,16
83,40.0,16
84,40.0,16
85,40.0,16
86,40.0,16
87,40.0,16
88,40.0,16
89,40.0,16
90,40.0,16
91,40.0,16
92,45.0,17
93,45.0,18
94,50.0,19
95,50.0,19
96,50.0,19
97,50.0,19
98,50.0,19
99,50.0,20
100,50.0,20
101,50.0,20
102,50.0,20
103,50.0,20
104,50.0,20
105,50.0,20
106,50.0,20
107,50.0,20
108,50.0,20
109,50.0,20
110,50.0,20
111,50.0,20
112,50.0,20
113,50.0,20
114,50.0,20
115,50.0,20
116,50.0,20
117,50.0,20
118,50.0,20
119,50.0,20
120,50.0,20
121,55.0,21
122,55.0,22
123,60.0,23
124,60.0,24
125,60.0,24
126,60.0,24
127,60.0,24
128,60.0,24
129,60.0,24
130,65.0,25
131,65.0,26
132,70.0,27
133,70.0,27
134,70.0,27
135,70.0,27
136,70.0,27
137,70.0,27
138,70.0,27
139,70.0,27
140,70.0,27
141,70.0,27
142,70.0,27
143,70.0,27
144,70.0,27
145,70.0,27
146,70.0,27
147,70.0,27
148,70.0,27
149,70.0,27
150,70.0,27
151,70.0,27
152,70.0,27
153,70.0,27
154,70.0,27
155,70.0,27
156,70.0,27
157,70.0,27
158,70.0,27
159,70.0,27
160,70.0,27
161,70.0,27
162,70.0,27
163,70.0,27
164,70.0,27
165,70.0,27
166,70.0,28
167,70.0,28
168,70.0,28
169,70.0,28
170,70.0,28
171,70.0,28
172,70.0,28
173,70.0,28
174,70.0,28
175,70.0,28
176,70.0,28
177,70.0,28
178,70.0,28
179,70.0,28
180,70.0,28
181,70.0,28
182,70.0,28
183,75.0,29
184,75.0,30
185,80.0,31
186,80.0,31
187,80.0,31
188,80.0,31
189,80.0,31
190,80.0,31
191,80.0,31
192,80.0,31
193,80.0,31
194,80.0,31
195,80.0,31
196,80.0,32
197,80.0,32
198,80.0,32
199,80.0,32
200,80.0,32
201,80.0,32
202,80.0,32
203,85.0,33
204,85.0,34
205,90.0,35
206,90.0,35
207,90.0,35
208,90.0,35
209,90.0,35
210,90.0,35
211,90.0,35
212,90.0,36
213,90.0,36
214,90.0,36
215,90.0,36
216,90.0,36
217,90.0,36
218,90.0,36
219,90.0,36
220,90.0,36
221,90.0,36
222,90.0,36
223,90.0,36
224,95.0,37
225,95.0,38
226,100.0,39
227,100.0,39
228,100.0,39
229,100.0,39
230,100.0,39
231,100.0,39
232,100.0,39
233,100.0,39
234,100.0,39
