,income,wage
0,0.0,0
1,0.0,0
2,0.0,0
3,0.0,0
4,5.0,1
5,5.0,2
6,10.0,3
7,10.0,3
8,10.0,3
9,10.0,3
10,10.0,3
11,10.0,3
12,10.0,3
13,10.0,4
14,10.0,4
15,10.0,4
16,10.0,4
17,10.0,4
18,10.0,4
19,10.0,4
20,10.0,4
21,10.0,4
22,15.0,5
23,15.0,6
24,20.0,7
25,20.0,7
26,20.0,7
27,20.0,7
28,20.0,8
29,20.0,8
30,20.0,8
31,20.0,8
32,20.0,8
33,20.0,8
34,20.0,8
35,20.0,8
36,20.0,8
37,20.0,8
38,20.0,8
39,20.0,8
40,20.0,8
41,20.0,8
42,20.0,8
43,25.0,9
44,25.0,10
45,30.0,11
46,30.0,11
47,30.0,11
48,30.0,11
49,30.0,12
50,30.0,12
51,30.0,12
52,30.0,12
53,30.0,12
54,30.0,12
55,35.0,13
56,35.0,14
57,40.0,15
58,40.0,15
59,40.0,15
60,40.0,15
61,40.0,15
62,40.0,15
63,40.0,15
64,40.0,15
65,40.0,15
66,40.0,15
67,40.0,15
68,40.0,15
69,40.0,15
70,40.0,15
71,40.0,16
72,40.0,16
73,40.0,16
74,40.0,16
75,40.0,16
76,40.0,16
77,40.0,16
78,40.0,16
79,40.0,16
80,40.0,16
81,40.0,16
82,40.0,16
83,40.0,17
84,40.0,17
85,40.0,17
86,40.0,17
87,40.0,17
88,40.0,17
89,40.0,17
90,40.0,17
91,40.0,17
92,40.0,18
93,45.0,19
94,45.0,20
95,50.0,21
96,50.0,21
97,50.0,21
98,50.0,21
99,50.0,22
100,50.0,22
101,55.0,23
102,55.0,24
103,60.0,25
104,60.0,25
105,60.0,25
106,60.0,25
107,60.0,25
108,60.0,25
109,60.0,25
110,60.0,25
111,60.0,25
112,60.0,25
113,60.0,25
114,60.0,25
115,60.0,25
116,60.0,25
117,60.0,25
118,60.0,25
119,60.0,25
120,60.0,25
121,60.0,26
122,60.0,26
123,60.0,26
124,65.0,27
125,65.0,28
126,70.0,29
127,70.0,29
128,70.0,29
129,70.0,29
130,70.0,30
131,70.0,30
132,70.0,30
133,70.0,30
134,70.0,30
135,70.0,30
136,70.0,30
137,70.0,31
138,70.0,31
139,70.0,31
140,70.0,31
141,70.0,31
142,70.0,31
143,70.0,31
144,70.0,31
145,70.0,31
146,70.0,31
147,70.0,31
148,70.0,31
149,70.0,31
150,70.0,31
151,70.0,31
152,70.0,31
153,70.0,31
154,70.0,32
155,70.0,32
156,70.0,32
157,70.0,32
158,70.0,32
159,70.0,32
160,70.0,32
161,70.0,32
162,70.0,32
163,70.0,32
164,70.0,32
165,70.0,32
166,70.0,33
167,70.0,33
168,70.0,33
169,70.0,33
170,70.0,33
171,70.0,33
172,70.0,33
173,70.0,34
174,70.0,34
175,70.0,34
176,70.0,34
177,70.0,34
178,70.0,34
179,70.0,34
180,70.0,34
181,70.0,34
182,70.0,34
183,75.0,35
184,75.0,36
185,80.0,37
186,80.0,37
187,80.0,37
188,80.0,37
189,80.0,37
190,80.0,37
191,80.0,37
192,80.0,37
193,80.0,37
194,80.0,37
195,80.0,37
196,80.0,38
197,80.0,38
198,80.0,38
199,80.0,38
200,80.0,38
201,80.0,38
202,80.0,38
203,85.0,39
204,85.0,40
205,90.0,42
206,90.0,43
207,95.0,44
208,95.0,45
209,95.0,46
210,95.0,47
211,100.0,48
212,100.0,49
213,100.0,49
214,100.0,49
215,100.0,49
216,100.0,49
217,100.0,49
218,105.0,50
219,105.0,52
220,110.0,53
221,110.0,53
222,110.0,53
223,110.0,53
224,110.0,54
225,110.0,54
226,110.0,54
227,110.0,54
228,110.0,54
229,115.0,55
230,115.0,56
231,120.0,57
232,120.0,57
233,120.0,57
234,120.0,57
