,income,wage
0,0.0,0
1,0.0,0
2,0.0,0
3,0.0,0
4,5.0,1
5,5.0,2
6,10.0,3
7,10.0,3
8,10.0,3
9,10.0,3
10,10.0,3
11,10.0,3
12,10.0,3
13,10.0,4
14,10.0,4
15,10.0,4
16,10.0,4
17,10.0,4
18,10.0,4
19,10.0,4
20,10.0,4
21,10.0,4
22,15.0,5
23,15.0,6
24,20.0,7
25,20.0,7
26,20.0,7
27,20.0,7
28,20.0,8
29,20.0,8
30,20.0,8
31,20.0,8
32,20.0,8
33,20.0,8
34,20.0,8
35,20.0,8
36,20.0,8
37,20.0,8
38,20.0,8
39,20.0,8
40,20.0,8
41,20.0,8
42,20.0,8
43,20.0,8
44,20.0,8
45,20.0,8
46,20.0,8
47,20.0,8
48,20.0,8
49,25.0,9
50,25.0,10
51,30.0,11
52,30.0,11
53,30.0,11
54,30.0,11
55,30.0,12
56,30.0,12
57,30.0,12
58,30.0,12
59,30.0,12
60,30.0,12
61,30.0,12
62,30.0,12
63,30.0,12
64,30.0,12
65,30.0,12
66,30.0,12
67,30.0,12
68,30.0,12
69,30.0,12
70,30.0,12
71,30.0,12
72,30.0,12
73,30.0,12
74,30.0,12
75,30.0,12
76,30.0,12
77,30.0,12
78,30.0,12
79,30.0,12
80,30.0,12
81,30.0,12
82,30.0,12
83,30.0,12
84,30.0,12
85,30.0,12
86,30.0,12
87,30.0,12
88,30.0,12
89,30.0,12
90,30.0,12
91,30.0,12
92,35.0,13
93,35.0,14
94,40.0,15
95,40.0,15
96,40.0,15
97,40.0,15
98,40.0,15
99,40.0,15
100,40.0,15
101,40.0,15
102,40.0,15
103,40.0,15
104,40.0,15
105,40.0,15
106,40.0,15
107,40.0,15
108,40.0,15
109,40.0,15
110,40.0,15
111,40.0,15
112,40.0,15
113,40.0,15
114,40.0,15
115,40.0,15
116,40.0,15
117,40.0,15
118,40.0,15
119,40.0,15
120,40.0,15
121,40.0,16
122,40.0,16
123,40.0,16
124,40.0,16
125,40.0,16
126,40.0,16
127,40.0,16
128,40.0,16
129,40.0,16
130,40.0,16
131,40.0,16
132,40.0,16
133,40.0,16
134,40.0,16
135,40.0,16
136,40.0,16
137,40.0,16
138,40.0,16
139,40.0,16
140,40.0,16
141,40.0,16
142,40.0,16
143,40.0,16
144,40.0,16
145,40.0,16
146,40.0,16
147,40.0,16
148,40.0,16
149,40.0,16
150,40.0,16
151,40.0,16
152,40.0,16
153,40.0,16
154,40.0,16
155,40.0,16
156,40.0,16
157,40.0,16
158,40.0,16
159,40.0,16
160,40.0,16
161,40.0,16
162,40.0,16
163,40.0,16
164,40.0,16
165,40.0,16
166,40.0,16
167,40.0,16
168,40.0,16
169,40.0,16
170,40.0,16
171,40.0,16
172,40.0,16
173,40.0,16
174,40.0,16
175,40.0,16
176,40.0,16
177,40.0,16
178,40.0,16
179,40.0,16
180,40.0,16
181,40.0,16
182,40.0,16
183,40.0,16
184,40.0,16
185,40.0,16
186,40.0,16
187,40.0,16
188,40.0,16
189,40.0,16
190,40.0,16
191,40.0,16
192,40.0,16
193,40.0,16
194,40.0,16
195,40.0,16
196,45.0,17
197,45.0,18
198,50.0,19
199,50.0,19
200,50.0,19
201,50.0,19
202,50.0,19
203,50.0,20
204,50.0,20
205,50.0,20
206,50.0,20
207,50.0,20
208,50.0,20
209,50.0,20
210,50.0,20
211,50.0,20
212,55.0,21
213,55.0,22
214,60.0,23
215,60.0,23
216,60.0,23
217,60.0,23
218,60.0,23
219,60.0,23
220,60.0,23
221,60.0,23
222,60.0,23
223,60.0,23
224,60.0,24
225,60.0,24
226,60.0,24
227,60.0,24
228,60.0,24
229,60.0,24
230,60.0,24
231,60.0,24
232,60.0,24
233,60.0,24
234,60.0,24
